intf_id,pre_post_ambiguity,seg_pre,seg_post,type_pre,type_post,size,contact_x,contact_y,contact_z
5420,0,463,30,463,30,50066,10063,313,391
6385,0,227,30,227,30,38256,9732,818,689
6790,0,681,27,681,27,23718,9785,195,982
28705,1,463,31,463,31,60536,9669,3465,331
38863,0,463,31,463,31,70640,10109,4673,298
40910,0,227,30,227,30,69222,9414,4607,565
47548,0,7,31,7,31,24530,9254,5570,433
95329,0,453,10,453,10,11738,10277,3013,524
96427,1,227,30,227,30,232844,10708,3447,569
96511,1,453,31,453,31,182040,10568,2631,546
108377,0,463,31,463,31,4650,10320,4587,310
115100,0,463,30,463,30,134298,10886,5440,311
126884,0,7,31,7,31,97446,10723,7175,454
148992,0,453,10,453,10,27988,11804,2417,541
150314,0,227,31,227,31,20958,11962,2703,619
150317,0,453,31,453,31,42416,11981,2725,605
200848,1,453,31,453,31,126362,12872,2530,657
206534,0,227,31,227,31,30096,12075,3113,613
296845,0,227,22,227,22,21100,1288,3244,582
302844,0,227,30,227,30,25580,1330,4423,571
324639,0,953,27,953,27,32360,1222,7840,621
330169,0,953,27,953,27,51904,1634,8177,625
332126,1,166,22,166,22,15722,2995,9743,234
332127,0,166,22,166,22,112292,2660,9000,258
341140,1,878,40,878,40,657476,3239,1799,363
356677,0,463,40,463,40,13424,2252,3101,189
425681,0,453,31,453,31,110820,3454,2057,473
425682,0,878,31,878,31,74966,3862,2002,463
437369,0,227,35,227,35,5602,3390,2045,706
446072,1,878,22,878,22,99236,3788,3736,431
448895,0,931,22,931,22,85096,3833,3744,557
491183,0,878,22,878,22,32038,3614,7670,295
498421,0,878,22,878,22,90652,3996,8236,284
508996,0,965,30,965,30,44890,4279,9497,257
515513,0,463,64,463,64,17638,4308,1062,186
532319,1,878,22,878,22,179858,4554,2837,450
556948,0,227,22,227,22,128992,5090,4165,736
566982,1,878,31,878,31,82630,4459,5676,326
596991,0,931,30,931,30,5628,4406,8091,511
613075,0,453,22,453,22,72624,5199,908,520
621054,0,453,22,453,22,50660,5090,1430,565
709443,0,463,64,463,64,144350,6613,1741,221
711864,0,463,31,463,31,98660,6785,1459,365
722020,1,453,31,453,31,42658,6136,2164,419
737371,0,772,27,772,27,83834,6615,3722,875
795604,0,463,31,463,31,43370,7280,494,391
795605,0,463,31,463,31,100288,7594,955,403
820539,0,453,31,453,31,94910,7609,3364,412
842456,0,7,30,7,30,186190,7601,5587,551
859161,0,7,22,7,22,5440,7404,7108,434
874373,0,626,31,626,31,28678,8734,9075,216
879529,0,463,31,463,31,151842,8611,930,402
879530,0,463,31,463,31,1962,8658,992,410
887172,1,772,22,772,22,57376,8184,1857,754
896190,0,772,27,772,27,209794,8687,2549,774
917860,0,465,31,465,31,289730,8319,5770,138
