intf_id,pre_post_ambiguity,seg_pre,seg_post,type_pre,type_post,size,contact_x,contact_y,contact_z,msb
5420,0,463,30,463,30,50066,9992,327,397,1
6385,0,227,30,227,30,38256,9724,928,681,1
6790,0,681,27,681,27,23718,9802,239,982,1
28705,1,463,31,463,31,60536,9672,3486,335,1
38863,0,463,31,463,31,70640,10127,4687,297,1
40910,0,227,30,227,30,69222,9412,4621,566,1
47548,0,7,31,7,31,24530,9257,5565,433,1
95329,0,453,10,453,10,11738,10277,3034,524
96427,1,227,30,227,30,232844,10726,3399,571,0
96511,1,453,31,453,31,182040,10571,2647,546,1
108377,0,463,31,463,31,4650,10302,4583,309,1
115100,0,463,30,463,30,134298,10806,5451,313,1
126884,0,7,31,7,31,97446,10731,7184,454,1
148992,0,453,10,453,10,27988,11812,2407,542,1
150314,0,227,31,227,31,20958,12005,2728,616,1
150317,0,453,31,453,31,42416,11979,2702,600,1
200848,1,453,31,453,31,126362,12967,2318,662,1
206534,0,227,31,227,31,30096,12068,3113,613,1
296845,0,227,22,227,22,21100,1294,3244,582,1
302844,0,227,30,227,30,25580,1303,4418,575,1
324639,0,953,27,953,27,32360,1215,7832,620,1
330169,0,953,27,953,27,51904,1718,8248,628,1
332126,1,166,22,166,22,15722,2998,9758,235,1
332127,0,166,22,166,22,112292,2667,8992,260,1
341140,1,878,40,878,40,657476,3224,1876,358,1
356677,0,463,40,463,40,13424,2289,3088,188,1
425681,0,453,31,453,31,110820,3480,2036,484,1
425682,0,878,31,878,31,74966,3726,2057,468,1
437369,0,227,35,227,35,5602,3393,2054,707,1
446072,1,878,22,878,22,99236,3786,3756,432,1
448895,0,931,22,931,22,85096,3845,3764,555,1
491183,0,878,22,878,22,32038,3612,7650,295,1
498421,0,878,22,878,22,90652,3990,8208,275,1
508996,0,965,30,965,30,44890,4294,9465,260,1
515513,0,463,64,463,64,17638,4322,1058,190,1
532319,1,878,22,878,22,179858,4471,2916,450,1
556948,0,227,22,227,22,128992,4637,4145,730,1
566982,1,878,31,878,31,82630,4502,5579,317,1
596991,0,931,30,931,30,5628,4415,8092,518,1
613075,0,453,22,453,22,72624,5199,922,521,1
621054,0,453,22,453,22,50660,5133,1421,560,1
709443,0,463,64,463,64,144350,6575,1605,218,1
711864,0,463,31,463,31,98660,6734,1445,364,1
722020,1,453,31,453,31,42658,6213,2195,411,1
737371,0,772,27,772,27,83834,6653,3670,872,1
795604,0,463,31,463,31,43370,7283,507,390,1
795605,0,463,31,463,31,100288,7563,982,399,1
820539,0,453,31,453,31,94910,7580,3366,410,1
842456,0,7,30,7,30,186190,7620,5644,549,1
859161,0,7,22,7,22,5440,7415,7089,433,1
874373,0,626,31,626,31,28678,8730,9072,217,1
879529,0,463,31,463,31,151842,8533,1042,406,1
879530,0,463,31,463,31,1962,8663,990,409,1
887172,1,772,22,772,22,57376,8178,1900,760,1
896190,0,772,27,772,27,209794,8659,2497,772,1
917860,0,465,31,465,31,289730,8319,5770,138,1
