gid,cell_type
0,IN1
1,IN1
2,IN1
3,IN1
4,IN1
5,IN1
6,IN1
7,IN1
8,IN1
9,IN1
10,IN1
11,IN1
12,IN1
13,IN1
14,IN1
15,IN1
16,IN1
17,IN1
18,IN1
19,IN1
20,IN1
21,IN1
22,IN1
23,IN1
24,IN1
25,IN1
26,IN1
27,IN1
28,IN1
29,IN1
30,IN1
31,IN1
32,IN1
33,IN1
34,IN1
35,IN1
36,IN1
37,IN1
38,IN1
39,IN1
40,IN1
41,IN1
42,IN1
43,IN1
44,IN1
45,IN1
46,IN1
47,IN1
48,IN1
49,IN1
50,IN1
51,IN1
52,IN1
53,IN1
54,IN1
55,IN1
56,IN1
57,IN1
58,IN1
59,IN1
60,IN1
61,IN1
62,IN1
63,IN1
64,IN1
65,IN1
66,IN1
67,IN1
68,IN1
69,IN1
70,IN1
71,IN1
72,IN1
73,IN1
74,IN1
75,IN1
76,IN1
77,IN1
78,IN1
79,IN1
80,IN1
81,IN1
82,IN1
83,IN1
84,IN1
85,IN1
86,IN1
87,IN1
88,IN1
89,IN1
90,IN1
91,IN1
92,IN1
93,IN1
94,IN1
95,IN1
96,IN1
97,IN1
98,IN1
99,IN1
100,IN1
101,IN1
102,IN1
103,IN1
104,IN1
105,IN1
106,IN1
107,IN1
108,IN1
109,IN1
110,IN1
111,IN1
112,IN1
113,IN1
114,IN1
115,IN1
116,IN1
117,IN1
118,IN1
119,IN1
120,IN1
121,IN1
122,IN1
123,IN1
124,IN1
125,IN1
126,IN1
127,IN1
128,IN1
129,IN1
130,IN1
131,IN1
132,IN1
133,IN1
134,IN1
135,IN1
136,IN1
137,IN1
138,IN1
139,IN1
140,IN1
141,IN1
142,IN1
143,IN1
144,IN1
145,IN1
146,IN1
147,IN1
148,IN1
149,IN1
150,IN1
151,IN1
152,IN1
153,IN1
154,IN1
155,IN1
156,IN1
157,IN1
158,IN1
159,IN1
160,IN1
161,IN1
162,IN1
163,IN1
164,IN1
165,IN1
166,IN1
167,IN1
168,IN1
169,IN1
170,IN1
171,IN1
172,IN1
173,IN1
174,IN1
175,IN1
176,IN1
177,IN1
178,IN1
179,IN1
180,IN1
181,IN1
182,IN1
183,IN1
184,IN1
185,IN1
186,IN1
187,IN1
188,IN1
189,IN1
190,IN1
191,IN1
192,IN1
193,IN1
194,IN1
195,IN1
196,IN1
197,IN1
198,IN1
199,IN1
200,IN1
201,IN1
202,IN1
203,IN1
204,IN1
205,IN1
206,IN1
207,IN1
208,IN2
209,IN2
210,IN2
211,IN2
212,IN2
213,IN2
214,IN2
215,IN2
216,IN2
217,IN2
218,IN2
219,IN2
220,IN2
221,IN2
222,IN2
223,IN2
224,IN2
225,IN2
226,IN2
227,IN2
228,IN2
229,IN2
230,IN2
231,IN2
232,IN2
233,IN2
234,IN2
235,IN2
236,IN2
237,IN2
238,IN2
239,IN2
240,IN2
241,IN2
242,IN2
243,IN2
244,IN2
245,IN2
246,IN2
247,IN2
248,IN2
249,IN2
250,IN2
251,IN2
252,IN2
253,IN2
254,IN2
255,IN2
256,IN2
257,IN2
258,IN2
259,IN2
260,IN2
261,IN2
262,IN2
263,IN2
264,IN2
265,IN2
266,IN2
267,PF2
268,PF2
269,PF2
270,PF2
271,PF2
272,PF2
273,PF2
274,PF2
275,PF2
276,PF2
277,PF2
278,PF2
279,PF2
280,PF2
281,PF2
282,PF2
283,PF2
284,PF2
285,PF2
286,PF2
287,PF2
288,PF2
289,PF2
290,PF2
