gid,spiketime
21606,150.0
21607,10150.68399751639595
21608,10154.02517773615838
21609,10147.6548719464169
21610,10145.27332297944
21611,10152.2364748991535
21612,10151.3596900447942
21613,10151.7254324979115
21614,35.32686601941571
21615,34.42051784790495
21616,34.98049406738623
21617,76.14437699670087
21618,78.43643002325146
21619,115.30555236359743
21620,184.50839299783763
21621,217.1453116045406
21622,224.5786153647759
21623,255.52249196939633
21624,257.18476921517862
21625,289.27011987662485
21626,287.8399158380438
21627,293.51224175992115
