,syn,cluster,shared,pf_index
0,0,2,True,0
1,0,2,True,1
2,0,2,False,0
3,0,2,False,1
4,0,2,True,2
5,0,2,False,2
6,0,2,False,3
7,0,2,False,4
8,0,2,True,3
9,0,2,False,5
10,0,2,False,6
11,0,2,False,7
12,0,2,False,8
13,0,2,True,4
14,0,2,False,9
15,0,2,False,10
16,0,2,False,11
17,1,2,False,12
18,1,2,False,13
19,1,2,True,5
20,1,2,True,6
21,1,2,False,14
22,1,2,True,7
23,1,2,False,15
24,1,2,True,8
25,1,2,False,16
26,1,2,False,17
27,1,2,False,18
28,1,2,False,19
29,1,2,False,20
30,1,2,False,21
31,1,2,False,22
32,1,2,True,9
33,1,2,True,10
34,2,2,True,11
35,2,2,True,12
36,2,2,False,23
37,2,2,True,13
38,2,2,False,24
39,2,2,False,25
40,2,2,False,26
41,2,2,True,14
42,2,2,False,27
43,2,2,False,28
44,2,2,True,15
45,2,2,False,29
46,2,2,False,30
47,2,2,True,16
48,2,2,True,17
49,2,2,False,31
50,2,2,False,32
51,3,2,True,18
52,3,2,True,19
53,3,2,True,20
54,3,2,True,21
55,3,2,True,22
56,3,2,False,33
57,3,2,False,34
58,3,2,False,35
59,3,2,True,23
60,3,2,True,24
61,3,2,False,36
62,3,2,False,37
63,3,2,True,25
64,3,2,True,26
65,3,2,True,27
66,3,2,False,38
67,3,2,False,39
68,4,2,False,40
69,4,2,False,41
70,4,2,True,28
71,4,2,False,42
72,4,2,False,43
73,5,2,False,44
74,5,2,False,45
75,5,2,False,46
76,5,2,False,47
77,5,2,False,48
78,5,2,True,29
79,5,2,True,30
80,5,2,True,31
81,5,2,True,32
82,5,2,False,49
83,6,2,True,33
84,6,2,False,50
85,6,2,False,51
86,6,2,True,34
87,6,2,True,35
88,6,2,False,52
89,6,2,False,53
90,6,2,True,36
91,6,2,False,54
92,6,2,False,55
93,6,2,False,56
94,6,2,False,57
95,6,2,False,58
96,7,2,False,59
97,7,2,False,60
98,7,2,False,61
99,7,2,True,37
100,8,2,True,38
101,8,2,True,39
102,8,2,False,62
103,8,2,False,63
104,8,2,False,64
105,8,2,False,65
106,8,2,True,40
107,8,2,False,66
108,8,2,False,67
109,8,2,False,68
110,9,2,False,69
111,9,2,False,70
112,9,2,False,71
113,9,2,False,72
114,9,2,False,73
115,9,2,False,74
116,9,2,False,75
117,9,2,False,76
118,9,2,True,41
119,9,2,True,42
120,9,2,True,43
121,9,2,False,77
122,9,2,False,78
123,10,2,False,79
124,10,2,False,80
125,10,2,True,44
126,10,2,False,81
127,10,2,False,82
128,10,2,False,83
129,10,2,False,84
130,10,2,True,45
131,10,2,False,85
132,10,2,False,86
133,10,2,True,46
134,10,2,False,87
135,10,2,True,47
136,11,2,False,88
137,11,2,False,89
138,11,2,True,48
139,11,2,True,49
140,11,2,False,90
141,11,2,False,91
142,11,2,False,92
143,11,2,False,93
144,11,2,True,50
145,11,2,False,94
146,11,2,False,95
147,11,2,False,96
148,11,2,False,97
149,12,2,False,98
150,12,2,False,99
151,12,2,True,51
152,12,2,True,52
153,12,2,True,53
154,12,2,False,100
155,12,2,True,54
156,12,2,False,101
157,12,2,True,55
158,12,2,True,56
159,12,2,False,102
160,12,2,False,103
161,12,2,True,57
162,13,2,True,58
163,13,2,False,104
164,13,2,False,105
165,13,2,False,106
166,13,2,True,59
167,13,2,False,107
168,13,2,False,108
169,13,2,False,109
170,13,2,True,60
171,13,2,False,110
172,14,2,False,111
173,14,2,True,61
174,14,2,False,112
175,14,2,False,113
176,14,2,False,114
177,14,2,False,115
178,14,2,True,62
179,14,2,False,116
180,14,2,True,63
181,14,2,False,117
182,15,2,True,64
183,15,2,False,118
184,15,2,True,65
185,15,2,False,119
186,15,2,False,120
187,15,2,False,121
188,15,2,False,122
189,15,2,False,123
190,15,2,False,124
191,15,2,False,125
192,15,2,False,126
193,15,2,False,127
194,15,2,False,128
195,16,2,False,129
196,16,2,True,66
197,16,2,False,130
198,16,2,False,131
199,16,2,False,132
200,16,2,False,133
201,16,2,False,134
202,16,2,False,135
203,16,2,False,136
204,16,2,False,137
205,16,2,False,138
206,16,2,False,139
207,16,2,True,67
208,17,2,False,140
209,17,2,False,141
210,17,2,False,142
211,17,2,True,68
212,17,2,False,143
213,17,2,True,69
214,17,2,False,144
215,17,2,True,70
216,17,2,False,145
217,17,2,False,146
218,17,2,True,71
219,17,2,False,147
220,17,2,False,148
221,18,2,False,149
222,18,2,False,150
223,18,2,False,151
224,18,2,False,152
225,18,2,True,72
226,18,2,False,153
227,18,2,False,154
228,18,2,False,155
229,18,2,False,156
230,18,2,False,157
231,18,2,False,158
232,18,2,False,159
233,18,2,False,160
234,18,2,False,161
235,18,2,True,73
236,19,2,True,74
237,19,2,False,162
238,19,2,False,163
239,19,2,True,75
240,19,2,False,164
241,19,2,True,76
242,19,2,True,77
243,19,2,True,78
244,19,2,False,165
245,19,2,True,79
246,19,2,False,166
247,19,2,True,80
248,19,2,False,167
249,19,2,True,81
250,19,2,False,168
251,19,2,False,169
252,19,2,False,170
253,20,2,False,171
254,20,2,True,82
255,20,2,False,172
256,20,2,True,83
257,20,2,True,84
258,20,2,False,173
259,20,2,True,85
260,20,2,False,174
261,20,2,False,175
262,20,2,False,176
263,20,2,False,177
264,20,2,False,178
265,20,2,False,179
266,20,2,True,86
267,20,2,False,180
268,20,2,False,181
269,20,2,True,87
270,21,2,False,182
271,21,2,False,183
272,21,2,False,184
273,21,2,True,88
274,21,2,False,185
275,21,2,False,186
276,21,2,False,187
277,21,2,False,188
278,21,2,True,89
279,21,2,False,189
280,21,2,False,190
281,21,2,True,90
282,21,2,False,191
283,21,2,True,91
284,21,2,True,92
285,22,2,False,192
286,22,2,False,193
287,22,2,False,194
288,22,2,False,195
289,22,2,True,93
290,22,2,False,196
291,22,2,False,197
292,22,2,True,94
293,22,2,False,198
294,22,2,True,95
295,22,2,False,199
296,22,2,False,200
297,22,2,False,201
298,22,2,True,96
299,23,2,True,97
300,23,2,True,98
301,23,2,False,202
302,23,2,True,99
303,23,2,True,100
304,23,2,False,203
305,23,2,False,204
306,23,2,False,205
307,23,2,False,206
308,23,2,False,207
309,23,2,False,208
310,23,2,False,209
311,23,2,False,210
